"time_offset_sec","BS_1","BS_10","BS_11","BS_2","BS_3","BS_4","BS_5","BS_6","BS_7","BS_8","BS_9"
593,13,11,12,9,5,11,9,13,6,5,6
594,13,11,12,9,5,11,9,13,6,5,6
595,13,11,12,9,5,11,9,13,6,5,6
596,13,11,12,9,5,11,9,13,6,5,6
597,13,11,12,9,5,11,9,13,6,5,6
598,13,11,12,9,5,11,9,13,6,5,6
599,13,11,12,9,5,11,9,13,6,5,6
600,13,11,12,9,5,11,9,13,6,5,6
601,13,11,12,9,5,12,9,12,6,5,6
602,13,11,12,9,5,12,9,12,6,5,6
603,13,11,12,8,6,12,9,12,6,5,6
604,13,11,12,8,6,12,9,12,6,5,6
605,13,11,12,8,6,12,9,12,6,5,6
606,13,11,12,8,6,12,9,12,6,5,6
607,13,11,12,8,6,12,9,12,6,5,6
608,13,11,12,8,6,12,9,12,6,5,6
609,13,11,12,9,5,12,9,12,6,5,6
610,13,11,12,9,5,12,9,12,6,5,6
611,13,11,12,9,5,12,9,12,6,5,6
612,13,11,12,9,5,12,9,12,6,5,6
613,13,11,12,8,6,12,9,12,6,5,6
614,13,11,12,8,6,12,9,12,6,5,6
615,13,11,12,8,6,12,9,12,6,5,6
616,13,11,12,8,6,12,9,12,6,5,6
617,13,11,12,9,5,12,9,12,6,5,6
618,13,11,12,8,6,12,9,12,6,5,6
619,13,11,12,8,6,12,9,12,6,5,6
620,13,11,12,9,5,12,9,12,6,5,6
621,13,11,12,8,6,12,9,12,6,5,6
622,13,11,12,8,6,12,9,12,6,5,6
623,13,11,12,8,6,11,9,13,6,5,6
624,13,11,12,8,6,11,9,13,6,5,6
625,13,10,12,8,6,12,10,12,6,5,6
626,13,10,12,8,6,11,10,13,6,5,6
627,13,10,12,8,6,12,10,12,6,5,6
628,13,10,12,8,6,11,10,13,6,5,6
629,13,10,12,8,6,11,10,13,6,5,6
630,13,10,12,8,6,11,10,13,6,5,6
631,13,10,12,8,6,11,10,13,6,5,6
632,13,10,12,8,6,11,10,13,6,5,6
633,13,10,12,8,6,11,10,13,6,5,6
634,13,10,12,8,6,11,10,13,6,5,6
635,13,10,12,8,6,11,10,13,6,5,6
636,13,10,12,8,6,11,10,13,6,5,6
637,13,10,12,8,6,11,10,13,6,5,6
638,13,10,12,8,6,11,10,13,6,5,6
639,13,10,12,8,6,11,10,13,6,5,6
640,13,10,12,8,6,11,10,13,6,5,6
641,13,10,12,8,6,11,10,13,6,5,6
642,12,10,12,8,6,11,10,14,6,5,6
643,13,10,12,8,6,11,10,13,6,5,6
644,12,11,12,8,6,11,9,14,6,5,6
645,13,11,12,8,6,11,9,13,6,5,6
646,13,11,12,8,6,11,9,13,6,5,6
647,13,11,12,8,6,11,9,13,6,5,6
648,12,11,12,8,6,11,10,13,6,5,6
649,13,11,12,8,6,11,9,13,6,5,6
650,13,11,12,8,6,11,9,13,6,5,6
651,12,11,12,8,6,11,9,14,6,5,6
652,12,11,12,8,6,11,9,14,6,5,6
653,12,11,12,8,6,11,9,14,6,5,6
654,13,11,12,8,6,11,9,13,6,5,6
655,12,11,12,8,6,11,9,14,6,5,6
656,12,11,12,8,6,11,9,14,6,5,6
657,12,11,12,8,6,11,9,14,6,5,6
658,12,11,12,8,6,11,9,14,6,5,6
659,12,11,12,8,6,11,9,14,6,5,6
660,12,11,12,8,6,11,9,14,6,5,6
661,13,11,12,8,6,11,9,13,6,5,6
662,12,11,12,8,6,11,9,14,6,5,6
663,12,11,12,8,6,11,9,14,6,5,6
664,12,11,12,8,6,11,9,14,6,5,6
665,12,11,12,8,6,11,9,14,6,5,6
666,12,11,12,8,6,11,9,14,6,5,6
667,12,11,12,8,6,11,9,14,6,5,6
668,13,11,12,8,6,11,9,13,6,5,6
669,12,11,12,8,6,11,9,14,6,5,6
670,12,11,12,8,6,11,9,14,6,5,6
671,12,11,12,8,6,11,9,14,6,5,6
672,12,11,12,8,6,10,9,15,6,5,6
673,13,11,12,8,6,10,9,14,6,5,6
674,12,11,12,8,6,10,9,15,6,5,6
675,12,11,12,8,6,10,9,15,6,5,6
676,12,11,12,8,6,10,9,15,6,5,6
677,12,11,12,8,6,10,9,15,6,5,6
678,12,11,12,8,6,10,9,15,6,5,6
679,12,10,12,8,6,10,10,15,6,5,6
